path,bytes,mib,sha256
"/portfolio/source/labour-day-banner-1080x1080-260225-02.jpg",362454,0.346,995f8de3c5c4a2812673985c8b8a2ad79f03df7ec2cc711ca4647d2070182ba9
"/portfolio/source/tt-eofy-coupon-banner-1181x351-260512-15offttmsy.jpg",353657,0.337,70526c413231b2aa36d5f20803fe7473dfcf57d460009c15c03c7ed864b73337
"/portfolio/tt-eofy-coupon-banner-1181x351-260512-15offttmsy.jpg",353657,0.337,70526c413231b2aa36d5f20803fe7473dfcf57d460009c15c03c7ed864b73337
"/portfolio/pax-banner-25-10-10-01.jpg",352546,0.336,c4823db4c1af0ead5d7eae9a5c422d65605c65d0c7e604d1b89b21bfbc95466a
"/portfolio/source/pax-banner-25-10-10-01.jpg",352546,0.336,c4823db4c1af0ead5d7eae9a5c422d65605c65d0c7e604d1b89b21bfbc95466a
"/portfolio/msi-gpu-giveaway-banner-1200x630-a.jpg",341223,0.325,aa71d793768f98d02f50b6bf19be8a40de867de5181af50e087daa9e9686d0d6
"/portfolio/source/msi-gpu-giveaway-banner-1200x630-a.jpg",341223,0.325,aa71d793768f98d02f50b6bf19be8a40de867de5181af50e087daa9e9686d0d6
"/portfolio/source/tt-eofy-coupon-banner-1181x351-260512-50offttmsy.jpg",340172,0.324,05dd1699fe7486baa907c2360299b584602ab2d643ff095dc60a135b3626d87f
"/portfolio/tt-eofy-coupon-banner-1181x351-260512-50offttmsy.jpg",340172,0.324,05dd1699fe7486baa907c2360299b584602ab2d643ff095dc60a135b3626d87f
"/portfolio/organized/wancheng-ev-charging-app/cover.jpg",339526,0.324,ca82933a4148ae87f956ce9506e55495859792e5310967cd229208180e25e190
"/portfolio/source/supergirl-limited-edition-banner-1181x351-260615.jpg",331923,0.317,b1c0aff1c045abf57eedef04d3bf4324ad73b205393b9fc098e387dc5260def3
"/portfolio/supergirl-limited-edition-banner-1181x351-260615.jpg",331923,0.317,b1c0aff1c045abf57eedef04d3bf4324ad73b205393b9fc098e387dc5260def3
"/portfolio/source/光榮仁王3遊戲聯名-banner-en-26-6-1-1181x351.jpg",311728,0.297,ae1b0ccf54ba66f49071e755dafb6c3187661ba955b68d4324cc9b0306bd6b12
"/portfolio/光榮仁王3遊戲聯名-banner-en-26-6-1-1181x351.jpg",311728,0.297,ae1b0ccf54ba66f49071e755dafb6c3187661ba955b68d4324cc9b0306bd6b12
"/portfolio/source/umart-free-uber-delivery-banner-1181-x-351-像素.png",291382,0.278,d9546118c766a743f9582854e3b2f1a9bf4345576524834975e20033c6e1fbd0
"/portfolio/umart-free-uber-delivery-banner-1181-x-351-像素.png",291382,0.278,d9546118c766a743f9582854e3b2f1a9bf4345576524834975e20033c6e1fbd0
"/portfolio/source/umart-kings-birthday-holiday-banner-1181x351-260604.jpg",289431,0.276,fe116cf9076190c2b8fdd7205be350ef7e9956a3c920c916c62561bab259d798
"/portfolio/umart-kings-birthday-holiday-banner-1181x351-260604.jpg",289431,0.276,fe116cf9076190c2b8fdd7205be350ef7e9956a3c920c916c62561bab259d798
"/portfolio/odyssey-oled-g8-g85sd-banner-1181x351-251106.jpg",281043,0.268,8a86154ec1802e339c8d39131e9e584a4040be733349c338d13ca91b45d40965
"/portfolio/source/odyssey-oled-g8-g85sd-banner-1181x351-251106.jpg",281043,0.268,8a86154ec1802e339c8d39131e9e584a4040be733349c338d13ca91b45d40965
"/portfolio/easter-sale-banner-1181x381-260304-05.jpg",277956,0.265,67fb4c0586fde4f11c636bafd7cb42f1c2f7fc1eb08f115f26166fc3450fe098
"/portfolio/source/easter-sale-banner-1181x381-260304-05.jpg",277956,0.265,67fb4c0586fde4f11c636bafd7cb42f1c2f7fc1eb08f115f26166fc3450fe098
"/portfolio/gigabyte-laptops-and-monitors-bundles-banner-1181x351-60122.jpg",275927,0.263,d4092f4ce874d17a49b85238c854afddcaec03cffc3e12aef2a9f3911b1e1f74
"/portfolio/source/gigabyte-laptops-and-monitors-bundles-banner-1181x351-60122.jpg",275927,0.263,d4092f4ce874d17a49b85238c854afddcaec03cffc3e12aef2a9f3911b1e1f74
"/portfolio/hp-banner-1080x1080-260128-b.jpg",273916,0.261,eef89ab9a5682ae90c011edca664414323b24f39cadd5439ead876b7df187c40
"/portfolio/source/hp-banner-1080x1080-260128-b.jpg",273916,0.261,eef89ab9a5682ae90c011edca664414323b24f39cadd5439ead876b7df187c40
"/phantom/f4f79fe453513c76.png",264630,0.252,6e11d7057b8b2b773fcd345407b444fa3940fc3cba84aebffb3ad41b47c8a627
"/phantom/4d18b45072a79fe8.png",262614,0.250,92fd7b58855e9f2bf1e12bfd21bc67df256570b10dc8766adf811120db063fff
"/portfolio/source/thermal-grizzly-bfcm-banner-1181x351-281120.jpg",261196,0.249,0eb302ef54e3a3573d25629b4358d2b773071ba87d517cfa13a2d7d1be0186d9
"/portfolio/thermal-grizzly-bfcm-banner-1181x351-281120.jpg",261196,0.249,0eb302ef54e3a3573d25629b4358d2b773071ba87d517cfa13a2d7d1be0186d9
"/portfolio/source/umart-ai-banner-1200x6300-b.jpg",250716,0.239,817095725d8eaa5c83bbebc78a7c0e7ab5049a54349169ab103ff52bcadc950b
